,cell_type
808,Tcells 1
809,TAM 3
810,TAM 1
811,Tcells 3
812,cDC2
813,Tcells 1
814,TAM 5
815,cDC2
816,TAM 2
817,TAM 5
818,Mono 2
819,Mono 1
820,Tcells 2
821,Mono 2
822,TAM 4
823,Tcells 1
824,Proliferating TAM
825,cDC2
826,TAM 3
827,Proliferating TAM
828,Tcells 2
829,TAM 1
830,TAM 1
831,Tcells 3
832,Tcells 1
833,NK
834,Tcells 1
835,Tcells 1
836,TAM 3
837,Tcells 1
838,Mono 2
839,Tcells 3
840,Proliferating TAM
841,TAM 5
842,B
843,TAM 5
844,Mono 2
845,TAM 5
846,NK
847,Tcells 2
848,Proliferating TAM
849,Tcells 3
850,NK
851,TAM 3
852,TAM 1
853,Tcells 1
854,TAM 1
855,TAM 3
856,TAM 3
857,TAM 2
858,TAM 3
859,Tcells 1
860,TAM 5
861,TAM 2
862,Proliferating T cells
863,NK
864,TAM 3
865,Proliferating T cells
866,TAM 3
867,Mono 1
868,Tcells 3
869,Proliferating TAM
870,Tcells 1
871,TAM 2
872,TAM 5
873,Tcells 1
874,TAM 5
875,Tcells 2
876,TAM 3
877,TAM 2
878,B
879,Tcells 3
880,TAM 3
881,TAM 3
882,Proliferating TAM
883,Tcells 2
884,TAM 1
885,Tcells 1
886,Mono 1
887,TAM 3
888,Mono 1
889,Tcells 2
890,TAM 1
891,Tcells 1
892,TAM 1
893,Tcells 2
894,TAM 3
895,TAM 4
896,Proliferating TAM
897,Proliferating TAM
898,TAM 3
899,Mono 1
900,TAM 5
901,Proliferating TAM
902,Mono 2
903,TAM 2
904,TAM 5
905,Tcells 2
906,NK
907,TAM 5
908,TAM 5
909,Treg
910,Mono 2
911,Tcells 1
912,NK
913,NK
914,Tcells 1
915,Tcells 3
916,Tcells 1
917,Mono 1
918,Mono 2
919,Mono 1
920,TAM 3
921,TAM 5
922,Tcells 2
923,TAM 5
924,TAM 3
925,Mono 1
926,Tcells 1
927,Tcells 3
928,TAM 3
929,Proliferating TAM
930,Tcells 1
931,TAM 5
932,Tcells 2
933,Tcells 2
934,Tcells 1
935,TAM 5
936,B
937,Mono 1
938,Tcells 1
939,TAM 5
940,TAM 3
941,Tcells 1
942,TAM 5
943,Tcells 1
944,TAM 2
945,Mono 2
946,Proliferating TAM
947,TAM 3
948,Proliferating TAM
949,Tcells 1
950,TAM 1
951,Mono 1
