,cell_type
11608,Mono 2
11609,TAM 2
11610,Mono 1
11611,Tcells 3
11612,TAM 5
11613,TAM 2
11614,Mono 1
11615,cDC2
11616,Treg
11617,TAM 3
11618,Mono 2
11619,NK
11620,TAM 4
11621,Tcells 2
11622,Tcells 2
11623,Mono 1
11624,TAM 4
11625,Mono 2
11626,Mono 2
11627,TAM 2
11628,Tcells 1
11629,Mono 2
11630,cDC1
11631,Mono 2
11632,Tcells 3
11633,TAM 3
11634,Treg
11635,TAM 4
11636,Tcells 1
11637,TAM 5
11638,TAM 2
11639,Tcells 1
11640,NK
11641,TAM 2
11642,cDC2
11643,TAM 3
11644,Proliferating TAM
11645,TAM 2
11646,TAM 2
11647,Proliferating TAM
11648,TAM 3
11649,cDC2
11650,Mono 1
11651,Mono 1
11652,TAM 3
11653,TAM 3
11654,Mono 1
11655,Mono 2
11656,TAM 4
11657,pDC
11658,TAM 3
11659,cDC2
11660,TAM 1
11661,Mono 2
11662,TAM 3
11663,Mono 2
11664,TAM 3
11665,TAM 4
11666,TAM 5
11667,NK
11668,cDC2
11669,Mono 1
11670,TAM 4
11671,Tcells 1
11672,TAM 5
11673,Mono 2
11674,TAM 4
11675,B
11676,Tcells 2
11677,cDC2
11678,Treg
11679,TAM 4
11680,Mast
11681,Tcells 1
11682,Treg
11683,B
11684,Mono 1
11685,TAM 5
11686,Tcells 2
11687,Proliferating TAM
11688,TAM 3
11689,TAM 4
11690,Proliferating TAM
11691,TAM 4
11692,Mono 2
11693,Tcells 2
11694,Mono 2
11695,TAM 4
11696,cDC2
11697,TAM 3
11698,TAM 2
11699,TAM 3
11700,TAM 4
11701,TAM 3
11702,Mono 2
11703,Mono 2
11704,Mono 1
11705,Mast
11706,TAM 3
11707,Mono 1
11708,cDC2
11709,Mono 1
11710,Treg
11711,TAM 2
11712,cDC2
11713,Mono 1
11714,TAM 2
11715,TAM 4
11716,Treg
11717,Mono 1
11718,Tcells 3
11719,Mono 1
11720,NK
11721,TAM 2
11722,Tcells 2
11723,TAM 3
11724,TAM 5
11725,Mono 2
11726,Mono 1
11727,Tcells 2
11728,cDC2
11729,TAM 1
11730,TAM 4
11731,Tcells 3
11732,TAM 1
11733,TAM 4
11734,Mono 2
11735,TAM 3
11736,pDC
11737,TAM 4
11738,Mono 2
11739,Mono 1
11740,TAM 2
11741,TAM 4
11742,NK
11743,B
11744,TAM 4
11745,TAM 3
11746,Tcells 2
11747,TAM 4
11748,cDC2
11749,Mono 1
11750,Mono 1
11751,NK
11752,Mono 1
11753,TAM 1
11754,Tcells 2
11755,TAM 5
11756,Tcells 3
11757,TAM 4
11758,Proliferating TAM
11759,Tcells 2
11760,TAM 5
11761,TAM 3
11762,TAM 2
11763,Treg
11764,TAM 1
11765,cDC2
11766,TAM 2
11767,TAM 4
11768,TAM 4
11769,NK
11770,Tcells 3
11771,TAM 3
11772,TAM 3
11773,cDC1
11774,TAM 5
11775,Mono 2
11776,pDC
11777,TAM 2
11778,TAM 5
11779,cDC2
11780,Mono 1
11781,pDC
11782,TAM 3
11783,TAM 2
11784,TAM 1
11785,Mono 2
11786,Mono 2
11787,TAM 5
11788,NK
11789,TAM 2
11790,TAM 3
11791,TAM 4
11792,TAM 3
11793,TAM 3
11794,cDC2
11795,TAM 1
11796,Tcells 2
11797,Mast
11798,NK
11799,Treg
11800,cDC1
11801,TAM 2
11802,Tcells 1
11803,Tcells 2
11804,Tcells 1
11805,TAM 3
11806,Mono 2
11807,TAM 3
11808,Mono 1
11809,TAM 3
11810,Mono 2
11811,cDC2
11812,TAM 4
11813,TAM 2
11814,NK
11815,Tcells 1
11816,TAM 3
11817,Mono 2
11818,Tcells 1
11819,TAM 2
11820,TAM 2
11821,Treg
11822,Tcells 2
11823,Tcells 3
11824,TAM 1
11825,pDC
11826,cDC1
11827,Mono 2
11828,Mono 2
11829,TAM 2
11830,Mono 2
11831,TAM 3
11832,Mono 1
11833,TAM 5
11834,pDC
11835,Mono 1
11836,cDC2
11837,TAM 3
11838,Mono 1
11839,TAM 2
11840,TAM 5
11841,Tcells 2
11842,Tcells 1
11843,Mono 2
11844,Mast
11845,Tcells 2
11846,NK
11847,Proliferating TAM
11848,cDC2
11849,Treg
11850,TAM 4
11851,Mono 1
11852,Tcells 1
11853,TAM 4
11854,NK
11855,TAM 2
11856,Treg
11857,Mono 1
11858,TAM 4
11859,TAM 5
11860,TAM 4
11861,Mono 2
11862,TAM 2
11863,TAM 3
11864,TAM 2
11865,cDC1
11866,NK
11867,Tcells 2
11868,Mono 2
11869,NK
11870,Mono 1
11871,cDC2
11872,Tcells 1
11873,pDC
11874,Mono 1
11875,cDC2
11876,Mono 2
11877,B
11878,Mono 2
11879,cDC2
11880,TAM 4
11881,TAM 2
11882,TAM 2
11883,B
11884,TAM 5
11885,TAM 4
11886,TAM 2
11887,Mono 1
11888,NK
11889,cDC1
11890,Tcells 2
11891,cDC2
11892,TAM 5
11893,NK
11894,TAM 5
11895,Mono 1
11896,TAM 2
11897,TAM 3
11898,TAM 2
11899,NK
11900,Mono 1
11901,Tcells 3
11902,Mono 1
11903,Mono 2
11904,TAM 2
11905,Tcells 2
11906,TAM 1
11907,Tcells 2
11908,Tcells 3
11909,Mono 1
11910,cDC1
11911,TAM 3
11912,TAM 3
11913,Tcells 2
11914,Tcells 2
11915,TAM 4
11916,TAM 2
11917,Mono 1
11918,TAM 3
11919,TAM 2
11920,TAM 5
11921,cDC2
11922,Mono 2
11923,TAM 2
11924,TAM 4
11925,Treg
11926,Mono 1
11927,Mono 1
11928,TAM 4
11929,TAM 4
11930,Mono 2
11931,pDC
11932,NK
11933,cDC2
11934,TAM 2
11935,Mono 1
11936,Proliferating TAM
11937,NK
11938,pDC
11939,TAM 5
11940,TAM 5
11941,TAM 4
11942,Mono 2
11943,TAM 4
11944,TAM 3
11945,NK
11946,TAM 2
11947,cDC2
11948,Tcells 3
11949,TAM 4
11950,cDC2
11951,Proliferating T cells
11952,TAM 4
11953,TAM 4
11954,NK
11955,TAM 5
11956,Mono 1
11957,B
11958,Tcells 2
11959,Mono 2
11960,pDC
11961,TAM 3
11962,TAM 3
11963,Proliferating TAM
11964,TAM 2
11965,TAM 5
11966,Tcells 2
11967,Mono 1
11968,cDC1
11969,TAM 3
11970,TAM 2
11971,TAM 1
11972,NK
11973,TAM 5
11974,Mono 1
11975,TAM 5
11976,Mono 2
11977,Mast
11978,Proliferating TAM
11979,Tcells 1
11980,TAM 3
11981,TAM 3
11982,TAM 4
11983,Mono 2
11984,NK
11985,TAM 5
11986,Mono 2
11987,TAM 2
11988,Mono 1
11989,TAM 2
11990,TAM 5
11991,pDC
11992,NK
11993,Tcells 1
11994,TAM 2
11995,Tcells 2
11996,TAM 4
11997,Mono 2
11998,NK
11999,TAM 4
12000,Tcells 2
12001,TAM 2
12002,Tcells 3
12003,Mono 2
12004,cDC2
12005,Tcells 2
12006,TAM 5
12007,Tcells 1
12008,Mono 1
12009,Mono 1
12010,Mono 2
12011,Mono 1
12012,Mono 2
12013,Mono 1
12014,TAM 2
12015,TAM 4
12016,Tcells 2
12017,TAM 4
12018,TAM 2
12019,TAM 2
12020,TAM 2
12021,Proliferating T cells
12022,TAM 4
12023,Tcells 3
12024,Mono 2
12025,Tcells 1
12026,Tcells 1
12027,TAM 5
12028,Mono 1
12029,Mono 2
12030,B
12031,TAM 1
12032,cDC2
12033,TAM 2
12034,Tcells 1
12035,TAM 4
12036,TAM 3
12037,Tcells 1
12038,NK
12039,Treg
12040,TAM 2
12041,Mono 1
12042,TAM 2
12043,Tcells 3
12044,Proliferating TAM
12045,Mono 2
12046,Mono 1
12047,TAM 4
12048,TAM 3
12049,TAM 4
12050,TAM 3
12051,cDC2
12052,Mast
12053,Tcells 1
12054,TAM 3
12055,TAM 2
12056,Tcells 1
12057,Mono 1
12058,TAM 3
12059,TAM 5
12060,TAM 4
12061,cDC2
12062,TAM 4
12063,Mono 1
12064,Proliferating T cells
12065,Mono 2
12066,TAM 4
12067,cDC2
12068,TAM 2
12069,Tcells 1
12070,Proliferating TAM
12071,TAM 2
12072,TAM 5
12073,TAM 3
12074,Mono 1
12075,Tcells 1
12076,Tcells 1
12077,Tcells 2
12078,TAM 4
12079,TAM 3
12080,Mono 2
12081,TAM 5
12082,Tcells 1
12083,TAM 3
12084,Mono 2
12085,TAM 3
12086,TAM 4
12087,NK
12088,TAM 4
12089,cDC2
12090,TAM 5
12091,Mono 1
12092,TAM 1
12093,Mono 2
12094,NK
12095,Mono 2
12096,Proliferating TAM
12097,NK
12098,cDC2
12099,Mono 2
12100,Tcells 1
12101,Tcells 1
12102,NK
12103,NK
12104,TAM 2
12105,Tcells 1
12106,TAM 5
12107,Mono 1
12108,Mono 1
12109,Tcells 1
12110,Proliferating TAM
12111,TAM 2
12112,Tcells 2
12113,Tcells 1
12114,Mono 2
12115,TAM 5
12116,TAM 3
12117,TAM 4
12118,Mono 1
12119,TAM 4
12120,Tcells 1
12121,Mono 1
12122,Mono 2
12123,TAM 4
12124,TAM 2
12125,TAM 5
12126,NK
12127,Mono 1
12128,TAM 2
12129,Tcells 3
12130,Mono 2
12131,TAM 2
12132,Tcells 1
12133,Proliferating TAM
12134,Tcells 3
12135,TAM 5
12136,cDC2
12137,Treg
12138,TAM 4
12139,Mono 2
12140,Tcells 2
12141,Proliferating TAM
12142,TAM 4
12143,cDC2
12144,Treg
12145,Tcells 2
12146,Mono 1
12147,TAM 4
12148,Tcells 1
12149,Tcells 1
12150,Mono 1
12151,TAM 2
12152,cDC2
12153,TAM 4
12154,Mono 1
12155,Tcells 2
12156,TAM 5
12157,Mono 2
12158,cDC2
12159,TAM 3
12160,Mono 1
12161,TAM 4
12162,Mono 2
12163,TAM 4
12164,TAM 4
12165,Mono 1
12166,TAM 4
12167,TAM 2
12168,TAM 4
12169,TAM 4
12170,Mono 1
12171,Mono 2
12172,TAM 2
12173,cDC2
12174,TAM 2
12175,TAM 3
12176,cDC1
12177,TAM 3
12178,TAM 4
12179,TAM 2
12180,Tcells 2
12181,TAM 2
12182,Tcells 2
12183,Tcells 1
12184,TAM 3
12185,TAM 4
12186,TAM 4
12187,NK
12188,Mono 1
12189,Tcells 1
12190,NK
12191,Mast
12192,TAM 3
12193,Treg
12194,Tcells 1
12195,Mono 1
12196,Tcells 1
12197,NK
12198,TAM 2
12199,Tcells 3
12200,Tcells 2
12201,Mono 2
12202,TAM 2
12203,Proliferating T cells
12204,Proliferating TAM
12205,Tcells 1
12206,NK
12207,cDC2
12208,TAM 2
12209,TAM 3
12210,TAM 5
12211,Mono 1
12212,pDC
12213,TAM 2
12214,TAM 2
12215,TAM 4
12216,cDC2
12217,TAM 2
12218,Treg
12219,Mono 2
12220,TAM 2
12221,TAM 2
12222,TAM 3
12223,Tcells 1
12224,Mono 2
12225,Mono 1
12226,TAM 2
12227,Mast
12228,TAM 1
12229,TAM 3
12230,Mono 2
12231,TAM 3
12232,Mono 2
12233,cDC1
12234,cDC2
12235,TAM 4
12236,Tcells 1
12237,TAM 4
12238,TAM 5
12239,NK
12240,Tcells 2
12241,Tcells 1
12242,Proliferating T cells
12243,TAM 5
12244,TAM 2
12245,Mono 1
12246,Mono 1
12247,Mono 1
12248,Proliferating T cells
12249,cDC2
12250,cDC2
12251,TAM 3
12252,cDC2
12253,TAM 5
12254,TAM 3
12255,Mono 2
12256,TAM 3
12257,TAM 5
12258,cDC1
12259,Mono 2
12260,Mono 1
12261,TAM 4
12262,Treg
12263,TAM 1
12264,TAM 4
12265,TAM 4
12266,TAM 3
12267,TAM 3
12268,Tcells 3
12269,TAM 2
12270,cDC2
12271,Mono 2
12272,TAM 1
12273,Tcells 2
12274,TAM 3
12275,TAM 5
12276,Mono 1
12277,Mono 2
12278,TAM 5
12279,TAM 4
12280,Tcells 1
12281,TAM 3
12282,NK
12283,Proliferating T cells
12284,TAM 2
12285,cDC1
12286,cDC2
12287,Mono 1
12288,TAM 4
12289,Mono 2
12290,Tcells 1
12291,TAM 4
12292,TAM 5
12293,Mono 1
12294,TAM 3
12295,Proliferating T cells
12296,cDC2
12297,TAM 4
12298,TAM 1
12299,Mono 2
12300,Mono 2
12301,Tcells 1
12302,Mono 2
12303,Mono 1
12304,TAM 3
12305,TAM 2
12306,Tcells 1
12307,TAM 4
12308,TAM 2
12309,Tcells 1
12310,TAM 4
12311,B
12312,cDC2
12313,TAM 5
12314,TAM 3
12315,cDC2
12316,TAM 2
12317,TAM 5
12318,cDC2
12319,Proliferating TAM
12320,TAM 1
12321,TAM 3
12322,TAM 2
12323,Tcells 3
12324,Tcells 1
12325,TAM 3
12326,pDC
12327,TAM 1
12328,cDC1
12329,TAM 5
12330,TAM 2
12331,Mono 2
12332,Mono 2
12333,Mono 2
12334,TAM 5
12335,TAM 4
12336,Tcells 3
12337,Mono 2
12338,cDC2
12339,TAM 4
12340,Proliferating T cells
12341,B
12342,TAM 4
12343,TAM 4
12344,Tcells 3
12345,TAM 3
12346,B
12347,TAM 4
12348,TAM 3
12349,Mono 1
12350,TAM 3
12351,NK
12352,Tcells 2
12353,TAM 3
12354,TAM 3
12355,TAM 3
12356,Mono 1
12357,TAM 2
12358,TAM 4
12359,TAM 3
12360,Tcells 1
12361,pDC
12362,Proliferating T cells
12363,Tcells 1
12364,TAM 3
12365,cDC1
12366,TAM 2
12367,Tcells 1
12368,Mono 1
12369,Treg
12370,Treg
12371,Tcells 1
12372,TAM 4
12373,TAM 4
12374,TAM 2
12375,Tcells 3
12376,TAM 5
12377,Tcells 1
12378,TAM 2
12379,TAM 3
12380,Tcells 1
12381,Mono 1
12382,cDC2
12383,TAM 2
12384,Tcells 2
12385,TAM 4
12386,TAM 3
12387,Proliferating TAM
12388,TAM 5
12389,Tcells 1
12390,cDC2
12391,TAM 4
12392,Mono 2
12393,TAM 1
12394,Mono 2
12395,cDC2
12396,NK
12397,Tcells 1
12398,Mono 1
12399,TAM 4
12400,cDC2
12401,Treg
12402,Tcells 3
12403,TAM 4
12404,Mono 2
12405,TAM 2
12406,Proliferating TAM
12407,TAM 2
12408,Proliferating TAM
12409,Mono 1
12410,TAM 4
12411,Mono 2
12412,TAM 4
12413,TAM 4
12414,TAM 2
12415,Mono 1
12416,TAM 5
12417,TAM 5
12418,TAM 4
12419,Mono 2
12420,Mono 2
12421,Mono 1
12422,Proliferating T cells
12423,Tcells 1
12424,TAM 4
12425,Mono 1
12426,Mono 2
12427,TAM 1
12428,Mono 2
12429,Mono 1
12430,TAM 1
12431,TAM 3
12432,TAM 2
12433,Proliferating T cells
12434,TAM 2
12435,TAM 4
12436,Tcells 3
12437,TAM 3
12438,Mono 1
12439,Mono 2
12440,TAM 5
12441,TAM 5
12442,TAM 2
12443,NK
12444,TAM 4
12445,Tcells 2
12446,Tcells 1
12447,Mono 2
12448,Mono 2
12449,TAM 4
12450,TAM 3
12451,Proliferating T cells
12452,TAM 3
12453,TAM 2
12454,TAM 5
12455,NK
12456,Tcells 1
12457,TAM 5
12458,TAM 3
12459,TAM 4
12460,TAM 4
12461,TAM 5
12462,TAM 3
12463,Tcells 3
12464,TAM 5
12465,pDC
12466,NK
12467,Proliferating TAM
12468,Proliferating T cells
12469,TAM 4
12470,cDC2
12471,NK
12472,Proliferating TAM
12473,TAM 4
12474,TAM 5
12475,TAM 4
12476,TAM 3
12477,cDC1
12478,cDC1
12479,pDC
12480,Tcells 1
12481,pDC
12482,cDC2
12483,Mono 1
12484,Tcells 2
12485,TAM 5
12486,TAM 2
12487,TAM 3
12488,NK
12489,Tcells 1
12490,TAM 3
12491,cDC2
12492,Tcells 1
12493,TAM 2
12494,Proliferating T cells
12495,TAM 3
12496,Mono 1
12497,Tcells 1
12498,NK
12499,TAM 4
12500,Mono 2
12501,TAM 2
12502,NK
12503,Mono 1
12504,Tcells 3
12505,Tcells 2
12506,Tcells 3
12507,Mono 2
12508,TAM 5
12509,NK
12510,TAM 3
12511,Mono 2
12512,cDC2
12513,Tcells 1
12514,TAM 2
12515,Mono 2
12516,TAM 3
12517,Mono 1
12518,TAM 4
12519,TAM 3
12520,TAM 2
12521,TAM 5
12522,Treg
12523,Mono 1
12524,TAM 4
12525,NK
12526,TAM 5
12527,TAM 3
12528,Tcells 3
12529,NK
12530,Mono 2
12531,TAM 1
12532,Tcells 2
12533,NK
12534,NK
12535,TAM 4
12536,TAM 3
12537,TAM 5
12538,Proliferating T cells
12539,NK
12540,cDC2
12541,Tcells 3
12542,TAM 2
12543,cDC2
12544,Mono 2
12545,NK
12546,Treg
12547,Tcells 1
12548,cDC2
12549,Tcells 1
12550,Tcells 2
12551,cDC1
12552,cDC2
12553,NK
12554,TAM 2
12555,TAM 2
12556,TAM 2
12557,TAM 2
12558,Tcells 3
12559,TAM 4
12560,TAM 4
12561,Tcells 2
12562,Mono 1
12563,TAM 4
12564,TAM 5
12565,TAM 5
12566,cDC2
12567,Mono 1
12568,TAM 1
12569,TAM 3
12570,Mono 1
12571,TAM 3
12572,NK
12573,Mono 2
12574,TAM 3
12575,TAM 2
12576,Mono 2
12577,TAM 3
12578,Tcells 1
12579,TAM 2
12580,Tcells 1
12581,Mono 2
12582,Mono 1
12583,Tcells 1
12584,Mono 2
12585,Tcells 3
12586,Mono 1
12587,cDC1
12588,TAM 3
12589,Mono 2
12590,Proliferating T cells
12591,Tcells 2
12592,TAM 3
12593,cDC2
12594,TAM 1
12595,TAM 2
12596,Mono 1
12597,Proliferating TAM
12598,TAM 1
12599,cDC2
12600,TAM 2
12601,Mono 1
12602,NK
12603,Tcells 1
12604,cDC1
12605,TAM 3
12606,Mono 2
12607,cDC2
12608,Mast
12609,NK
12610,TAM 1
12611,Mono 1
12612,Mono 2
12613,Tcells 1
12614,Tcells 3
12615,TAM 3
12616,TAM 4
12617,TAM 4
12618,Mast
12619,Mast
12620,Mono 1
12621,TAM 4
12622,TAM 5
12623,Mono 1
12624,TAM 2
12625,TAM 3
12626,Proliferating TAM
12627,TAM 3
12628,Mono 1
12629,Mono 1
12630,Mono 2
12631,Tcells 2
12632,TAM 4
12633,Mono 1
12634,TAM 4
12635,Mono 2
12636,TAM 4
12637,Mono 2
12638,Mono 1
12639,TAM 5
12640,Tcells 3
12641,TAM 3
12642,TAM 5
12643,TAM 4
12644,Mono 1
12645,TAM 4
12646,Tcells 3
12647,TAM 5
12648,TAM 2
12649,TAM 3
12650,TAM 2
12651,Treg
12652,TAM 4
12653,Mono 2
12654,Mono 1
12655,Mono 2
12656,cDC1
12657,Mono 2
12658,TAM 5
12659,TAM 4
12660,Tcells 1
12661,B
12662,TAM 2
12663,TAM 3
12664,TAM 4
12665,Mono 2
12666,Tcells 1
12667,Mast
12668,TAM 4
12669,TAM 3
12670,TAM 5
12671,TAM 3
12672,TAM 3
12673,NK
12674,Mono 1
12675,TAM 5
12676,Mono 2
12677,Treg
12678,TAM 3
12679,Mono 1
12680,Tcells 2
12681,Tcells 2
12682,TAM 3
12683,TAM 5
12684,TAM 4
12685,NK
12686,Mono 2
12687,Tcells 3
12688,TAM 3
12689,TAM 3
12690,TAM 3
12691,TAM 5
12692,Mono 1
12693,TAM 2
12694,Mono 2
12695,TAM 3
12696,Tcells 2
12697,cDC1
12698,TAM 4
12699,Tcells 1
12700,Tcells 1
12701,TAM 4
12702,TAM 4
12703,TAM 2
12704,Tcells 3
12705,Mono 1
12706,pDC
12707,Proliferating T cells
12708,pDC
12709,TAM 1
12710,Mono 2
12711,cDC2
12712,TAM 3
12713,Tcells 2
12714,Tcells 1
12715,TAM 2
12716,TAM 2
12717,cDC1
12718,TAM 4
12719,Mono 1
12720,TAM 2
12721,Mono 1
12722,TAM 3
12723,Treg
12724,TAM 3
12725,TAM 4
12726,Mono 2
12727,TAM 3
12728,Mono 2
12729,pDC
12730,Mast
12731,TAM 5
12732,NK
12733,TAM 3
12734,TAM 4
12735,TAM 2
12736,TAM 2
12737,Treg
12738,TAM 4
12739,Tcells 1
12740,TAM 3
12741,TAM 5
12742,Tcells 2
12743,Mono 1
12744,cDC2
12745,TAM 4
12746,Tcells 1
12747,NK
12748,NK
12749,TAM 4
12750,TAM 4
12751,pDC
12752,TAM 5
12753,TAM 3
12754,TAM 2
12755,NK
12756,TAM 4
12757,Tcells 2
12758,TAM 4
12759,Mono 2
12760,cDC2
12761,Mono 1
12762,Mono 2
12763,TAM 2
12764,NK
12765,TAM 4
12766,Proliferating TAM
12767,TAM 2
12768,TAM 3
12769,TAM 2
12770,pDC
12771,Mono 1
12772,Treg
12773,TAM 4
12774,Treg
12775,Mono 2
12776,cDC2
12777,Tcells 1
12778,TAM 2
12779,Mono 1
12780,TAM 3
12781,TAM 1
12782,TAM 4
12783,TAM 4
12784,TAM 2
12785,Tcells 1
12786,Mono 2
12787,Tcells 2
12788,TAM 3
12789,NK
12790,Mono 1
12791,TAM 2
12792,Mono 2
12793,Mono 1
12794,TAM 3
12795,TAM 3
12796,Mono 1
12797,TAM 4
12798,Tcells 1
12799,Mono 2
12800,B
12801,Mono 1
12802,Mono 2
12803,Tcells 3
12804,TAM 4
12805,NK
12806,Mono 2
12807,Mono 2
12808,TAM 2
12809,TAM 3
12810,Mono 2
12811,Mono 1
12812,cDC2
12813,TAM 4
12814,NK
12815,Tcells 2
12816,NK
12817,TAM 4
12818,NK
12819,TAM 2
12820,Tcells 1
12821,Mono 1
12822,TAM 2
12823,Proliferating T cells
12824,TAM 4
12825,TAM 4
12826,TAM 4
12827,TAM 4
12828,TAM 4
12829,TAM 2
12830,Tcells 2
12831,Mono 2
12832,cDC2
12833,cDC2
12834,Tcells 1
12835,TAM 4
12836,Proliferating TAM
12837,Tcells 1
12838,TAM 5
12839,Tcells 3
12840,NK
12841,TAM 4
12842,Mono 2
12843,Tcells 1
12844,Tcells 3
12845,Tcells 1
12846,TAM 4
12847,TAM 3
12848,NK
12849,Mono 2
12850,Mono 1
12851,Mono 1
12852,Mono 2
12853,Tcells 2
12854,Mono 2
12855,Mono 2
12856,Tcells 3
12857,Mono 2
12858,Tcells 2
12859,cDC2
12860,Mono 2
12861,TAM 4
12862,cDC2
12863,TAM 4
12864,Mono 2
12865,cDC2
12866,cDC2
12867,Mono 1
12868,TAM 3
12869,NK
12870,TAM 5
12871,pDC
12872,TAM 1
12873,Tcells 1
12874,TAM 3
12875,TAM 5
12876,Mono 2
12877,Mono 2
12878,NK
12879,Treg
12880,Mono 1
12881,TAM 2
12882,TAM 5
12883,Proliferating TAM
12884,pDC
12885,Mono 2
12886,TAM 2
12887,NK
12888,TAM 2
12889,Tcells 1
12890,NK
12891,TAM 4
12892,TAM 4
12893,TAM 2
12894,cDC2
12895,TAM 2
12896,TAM 1
12897,Mono 2
12898,TAM 4
12899,cDC2
12900,Mono 2
12901,Tcells 2
12902,Treg
12903,Mono 1
12904,Treg
12905,Tcells 1
12906,TAM 2
12907,NK
12908,TAM 4
12909,TAM 5
12910,TAM 4
12911,TAM 4
12912,NK
12913,TAM 4
12914,Tcells 3
12915,Mono 1
12916,TAM 4
12917,TAM 2
12918,NK
12919,Tcells 2
12920,pDC
12921,TAM 2
12922,Mono 2
12923,TAM 4
12924,TAM 4
12925,Treg
12926,TAM 3
12927,NK
12928,Mono 1
12929,TAM 4
12930,TAM 2
12931,Tcells 3
12932,TAM 5
12933,Tcells 1
12934,TAM 3
12935,Mono 2
12936,Mono 1
12937,cDC2
12938,Tcells 1
12939,TAM 4
12940,Mono 1
12941,cDC2
12942,NK
12943,TAM 4
12944,Mono 1
12945,Tcells 3
12946,Tcells 3
12947,TAM 5
12948,pDC
12949,cDC2
12950,cDC2
12951,NK
12952,TAM 5
12953,cDC1
12954,Proliferating TAM
12955,Mono 1
12956,Mono 1
12957,TAM 4
12958,Mono 2
12959,TAM 3
12960,cDC1
12961,TAM 5
12962,Tcells 3
12963,NK
12964,Mono 2
12965,TAM 4
12966,Mono 1
12967,NK
12968,TAM 3
12969,TAM 4
12970,TAM 3
12971,NK
12972,TAM 4
12973,Tcells 3
12974,TAM 5
12975,Mono 1
12976,Mono 2
12977,TAM 3
12978,Tcells 1
12979,TAM 4
12980,NK
12981,Mono 1
12982,TAM 4
12983,TAM 4
12984,TAM 4
12985,Mono 2
12986,cDC2
12987,TAM 5
12988,Mono 1
12989,Tcells 2
12990,TAM 3
12991,Treg
12992,NK
12993,TAM 4
12994,TAM 5
12995,TAM 2
12996,Mono 2
12997,NK
12998,NK
12999,NK
13000,TAM 3
13001,Tcells 2
13002,NK
13003,TAM 4
13004,NK
13005,TAM 2
13006,TAM 3
13007,cDC2
13008,TAM 2
13009,Tcells 1
13010,TAM 3
13011,Tcells 3
13012,TAM 5
13013,Mono 2
13014,NK
13015,NK
13016,TAM 2
13017,TAM 5
13018,TAM 4
13019,cDC1
13020,TAM 5
13021,TAM 4
13022,NK
13023,TAM 3
13024,Tcells 2
13025,TAM 3
13026,TAM 1
13027,Mono 1
13028,TAM 2
13029,Mono 2
13030,Tcells 2
13031,Tcells 1
13032,Mono 1
13033,cDC1
13034,Mono 2
13035,TAM 2
13036,cDC1
13037,pDC
13038,NK
13039,TAM 2
13040,B
13041,TAM 5
13042,Tcells 3
13043,TAM 4
13044,cDC1
13045,cDC2
13046,cDC2
13047,Mono 1
13048,TAM 4
13049,cDC2
13050,NK
13051,TAM 2
13052,Mono 1
13053,TAM 5
13054,Tcells 1
13055,Mono 1
13056,cDC2
13057,TAM 3
13058,TAM 4
13059,TAM 4
13060,TAM 3
13061,Tcells 1
13062,TAM 1
13063,TAM 5
13064,TAM 3
13065,NK
13066,TAM 2
13067,Proliferating TAM
13068,Proliferating TAM
13069,NK
13070,cDC2
13071,Proliferating T cells
13072,TAM 1
13073,TAM 4
13074,Mono 2
13075,TAM 2
13076,Mono 1
13077,TAM 4
13078,TAM 5
13079,TAM 3
13080,Proliferating TAM
13081,Tcells 1
13082,TAM 3
13083,Mono 1
13084,NK
13085,TAM 5
13086,Mono 2
13087,TAM 3
13088,TAM 2
13089,TAM 4
13090,Treg
13091,TAM 5
13092,Mono 2
13093,TAM 3
13094,Mono 2
13095,Tcells 3
13096,TAM 1
13097,TAM 2
13098,Tcells 2
13099,NK
13100,Tcells 2
13101,TAM 4
13102,TAM 3
13103,pDC
13104,TAM 2
13105,TAM 5
13106,NK
13107,TAM 4
13108,TAM 5
13109,TAM 4
13110,Treg
13111,Mono 2
13112,TAM 4
13113,TAM 4
13114,TAM 5
13115,TAM 3
13116,Tcells 1
13117,TAM 1
13118,cDC2
13119,Mono 2
13120,TAM 4
13121,TAM 5
13122,Tcells 3
13123,TAM 2
13124,TAM 3
13125,cDC2
13126,Mono 1
13127,Mono 1
13128,TAM 4
13129,TAM 4
13130,TAM 2
13131,Mono 1
13132,Mono 2
13133,Mono 1
13134,NK
13135,Tcells 1
13136,TAM 2
13137,TAM 5
13138,TAM 3
13139,TAM 3
13140,TAM 5
13141,Tcells 2
13142,Mono 1
13143,Mono 1
13144,Tcells 1
13145,Mono 2
13146,Mono 1
13147,TAM 4
13148,TAM 3
13149,cDC2
13150,Mono 2
13151,Tcells 3
13152,TAM 4
13153,TAM 4
13154,NK
13155,Mono 2
13156,Treg
13157,Treg
13158,TAM 4
13159,TAM 4
13160,TAM 3
13161,TAM 3
13162,Tcells 2
13163,Treg
13164,TAM 3
13165,Mast
13166,Treg
13167,Mono 1
13168,TAM 4
13169,Treg
13170,Mono 2
13171,TAM 4
13172,NK
13173,Mono 2
13174,Mono 2
13175,NK
13176,TAM 3
13177,Tcells 1
13178,cDC2
13179,Proliferating TAM
13180,TAM 5
13181,TAM 1
13182,cDC2
13183,NK
13184,Mono 2
13185,TAM 4
13186,TAM 4
13187,Mono 2
13188,TAM 2
13189,TAM 4
13190,cDC2
13191,Tcells 1
13192,cDC1
13193,TAM 5
